total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
7.3109,11.1488,-66.3110,262.0719,-199.5989,0.5000,0.5000
7.3001,11.1368,-66.3111,262.0757,-199.6014,0.5000,0.5000
7.3103,11.1446,-66.3108,262.0763,-199.5998,0.5000,0.5000
7.3073,11.1433,-66.3106,262.0748,-199.6001,0.5000,0.5000
7.3327,11.1418,-66.3015,262.0929,-199.6005,0.5000,0.5000
7.3031,11.1404,-66.3114,262.0750,-199.6009,0.5000,0.5000
7.3057,11.1412,-66.3118,262.0768,-199.6005,0.5000,0.5000
7.3126,11.1447,-66.3117,262.0795,-199.5999,0.5000,0.5000
7.2972,11.1361,-66.3115,262.0742,-199.6017,0.5000,0.5000
7.3011,11.1381,-66.3117,262.0759,-199.6012,0.5000,0.5000
7.3099,11.1476,-66.3114,262.0729,-199.5993,0.5000,0.5000
7.3062,11.1399,-66.3114,262.0784,-199.6008,0.5000,0.5000
7.3071,11.1450,-66.3114,262.0733,-199.5998,0.5000,0.5000
7.3069,11.1425,-66.3112,262.0758,-199.6003,0.5000,0.5000
7.3015,11.1368,-66.3108,262.0770,-199.6015,0.5000,0.5000
