total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
-1478.8325,11.1122,-270.0997,166.6672,-1386.5122,0.9338,0.6170
-1483.3544,11.1159,-270.1949,162.2357,-1386.5111,0.9342,0.6175
-1480.8488,11.1128,-270.1042,164.6542,-1386.5116,0.9337,0.6224
-1483.7520,11.1158,-270.0924,161.7363,-1386.5118,0.9361,0.6224
-1484.9193,11.1174,-270.0979,160.5719,-1386.5108,0.9370,0.6231
-1483.1817,11.1148,-270.0555,162.2706,-1386.5117,0.9352,0.6174
-1484.2728,11.1141,-270.1569,161.2816,-1386.5116,0.9354,0.6225
-1483.8681,11.1088,-270.1414,161.6768,-1386.5123,0.9371,0.6303
-1485.1723,11.1246,-270.0803,160.2921,-1386.5087,0.9354,0.6179
-1485.3485,11.1129,-270.0544,160.1044,-1386.5114,0.9362,0.6317
-1483.6448,11.1204,-270.0377,161.7823,-1386.5099,0.9350,0.6244
-1483.8829,11.1163,-270.0767,161.5884,-1386.5109,0.9358,0.6284
-1482.4011,11.1197,-269.9915,162.9807,-1386.5100,0.9339,0.6163
-1483.7296,11.1172,-270.0650,161.7290,-1386.5108,0.9357,0.6251
-1483.7672,11.1296,-270.0432,161.6548,-1386.5084,0.9343,0.6241
-1483.8315,11.1177,-270.0536,161.6151,-1386.5106,0.9341,0.6229
-1484.7448,11.1151,-270.1013,160.7520,-1386.5105,0.9345,0.6174
-1482.5811,11.1120,-269.9486,162.7658,-1386.5104,0.9334,0.6274
-1481.3102,11.1135,-269.9463,164.0314,-1386.5088,0.9343,0.6184
-1483.1026,11.1079,-269.9998,162.2982,-1386.5089,0.9354,0.6264
-1485.3429,11.1079,-270.0443,160.1014,-1386.5079,0.9350,0.6223
-1483.5989,11.1152,-269.9202,161.7135,-1386.5074,0.9355,0.6245
