total_loss,avg_sgns_loss,avg_dirichlet_loss,avg_pred_loss,avg_div_loss,train_auc,test_auc
492.9351,11.7494,-362.3127,402.6490,440.8493,0.5335,0.5203
-1355.8164,10.7473,-373.0539,384.3466,-1377.8564,0.5413,0.5199
-1897.1281,10.8229,-373.1815,381.8753,-1916.6448,0.5486,0.5206
-2206.2175,10.9105,-373.1542,378.7683,-2222.7420,0.5646,0.5323
-2348.0111,10.9554,-372.9225,374.1154,-2360.1594,0.5798,0.5409
-2417.9434,10.9323,-372.6798,362.2635,-2418.4593,0.6375,0.5583
-2456.0134,10.9148,-372.6157,350.4455,-2444.7581,0.6732,0.5804
-2480.7080,10.9130,-372.6007,338.9109,-2457.9311,0.7046,0.5880
-2496.9290,10.9248,-372.7194,330.1167,-2465.2511,0.7328,0.5851
